year,industry1,industry2,industry3,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2017,services,"community, social and personal services","other community, social and personal services",62.8,52.1,14.7,14.1,9,2.5,-,-
2018,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",51.6,39.1,11.7,16.8,3.1,0.8,2.7,-
2018,manufacturing,paper/ rubber/ plastic products and printing,paper/ rubber/ plastic products and printing,47.2,35.7,15.1,14.1,4.5,2.5,-,-
2018,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",57.2,39.5,17.8,21.1,5.3,-,-,1.3
2018,manufacturing,fabricated metal products and machinery,fabricated metal products and machinery,40.1,29,11.3,10.2,4,1.3,1.3,1.3
2018,manufacturing,electronic and computer products,electronic and computer products,60.3,35.3,14.7,30.1,14.7,-,1.3,1.9
2018,manufacturing,transport equipment,transport equipment,38.6,19.9,14.4,13.3,6.8,1.1,1.5,4.4
2018,manufacturing,other manufacturing industries,other manufacturing industries,28.2,20.6,7.2,10.7,4.8,1.7,-,1
2018,construction,construction,construction,32,17.4,11.8,11.1,1.7,1.6,2.6,2.9
2018,services,wholesale and retail trade,wholesale trade,47.1,29.9,15.3,16.1,8.1,0.6,0.6,1.6
2018,services,wholesale and retail trade,retail trade,73.7,64.2,16.2,13.9,3.6,1.3,0.5,6.4
2018,services,transportation and storage,land transport and supporting services,52,41.9,11.7,15.1,10.1,0.6,2.8,3.9
2018,services,transportation and storage,water transport and supporting services,58.9,36.8,10.8,31.4,5.9,-,-,2.7
2018,services,transportation and storage,air transport and supporting services,s,s,s,s,s,s,s,s
2018,services,transportation and storage,other transport and storage services,39.8,27,9.9,16.4,5.9,-,-,1
2018,services,accommodation and food services,accommodation,78.5,57.9,19.6,42.1,1.9,1.9,-,8.4
2018,services,accommodation and food services,food and beverage services,75.2,66.3,22.7,21.1,8.2,1.5,2.8,6.3
2018,services,information and communications,"telecommunications, broadcasting and publishing",77.2,51.8,30.7,36,24.6,-,5.3,3.5
2018,services,information and communications,it and other information services,61,33.1,28.3,19.3,20.5,-,2.4,-
2018,services,financial and insurance services,financial services,62.8,48.2,24.2,32.3,22.1,0.3,3.9,6.3
2018,services,financial and insurance services,insurance services,75.6,60.5,12.8,44.2,12.8,-,3.5,8.1
2018,services,real estate services,real estate services,64.2,57.9,12.6,24.7,13.2,2.6,7.4,5.8
2018,services,professional services,"legal, accounting and management services",70.8,42.9,30.5,29.7,21.3,-,0.3,5
2018,services,professional services,architectural and engineering services,52.7,32.9,18.1,21,17,4,2,5.1
2018,services,professional services,other professional services,50.3,26,30.5,19.2,15.3,-,0.6,0.6
2018,services,administrative and support services,security and investigation,77.4,62.1,8.9,7.3,8.9,-,4,2.4
2018,services,administrative and support services,cleaning and landscaping,67.2,61.6,13.8,11,4.2,-,0.8,2.8
2018,services,administrative and support services,other administrative and support services,60.6,39.7,23.3,18.5,16.1,3.6,1.8,1.2
