freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C,PPS,SE	18.13 	19.97 	21.10 	22.14 	23.15 	23.82 	24.20 	24.92 	25.85 	26.66 	27.61 	28.35 	31.10 	: 
A,C,PPS,SI	12.62 	13.28 	14.36 	14.58 	15.39 	16.00 	16.77 	17.70 	18.03 	19.62 	20.90 	21.49 	21.79 	: 
A,C,PPS,SK	: 	6.44 	7.34 	7.23 	7.65 	8.67 	8.63 	8.55 	8.16 	8.12 	8.92 	9.91 	10.72 	: 
A,C,PPS,UK	: 	19.03 	18.59 	20.62 	21.81 	26.48 	28.76 	30.18 	28.64 	29.26 	27.42 	31.06 	30.75 	: 
A,C-E,EUR,AT	: 	23.90 	23.39 	23.61 	24.34 	24.58 	25.39 	26.31 	26.99 	27.50 	28.08 	28.34 	28.91 	29.72 
A,C-E,EUR,BE	: 	: 	: 	: 	: 	29.11 	30.59 	32.07 	32.09 	33.15 	33.65 	34.59 	36.48 	37.47 
A,C-E,EUR,BG	: 	: 	: 	1.16 e	1.27 e	1.35 	1.41 	1.44 	1.49 	1.58 	1.65 	1.73 	1.97 	: 
A,C-E,EUR,CH	: 	: 	: 	: 	: 	30.24 	: 	34.13 	: 	32.85 	: 	33.41 	: 	34.40 
A,C-E,EUR,CY	: 	7.06 	7.59 	7.89 	8.02 	8.73 	8.99 	9.56 	10.12 	10.65 	11.11 	11.25 	11.72 	12.44 
A,C-E,EUR,CZ	2.35 	2.72 	2.89 	3.20 	3.30 	3.70 	4.44 	5.21 	5.32 	5.61 	6.24 	6.91 	7.60 	: 
A,C-E,EUR,DE	: 	25.10 	25.60 	26.00 	26.50 	27.90 	28.90 	29.50 	30.20 	30.30 	30.50 	31.70 	32.10 	: 
A,C-E,EUR,DK	: 	: 	22.82 	23.93 	24.99 	25.82 	27.30 	28.52 	29.75 	30.15 	31.39 	32.74 	34.52 	: 
A,C-E,EUR,EE	: 	1.88 	2.18 	2.46 	2.57 	2.84 	3.13 	3.46 	3.76 	4.03 	4.54 	5.28 	6.39 	7.32 
A,C-E,EUR,EL	8.77 	9.35 	9.94 	9.99 	10.91 	11.36 	12.07 	12.98 	13.97 	: 	: 	: 	: 	: 
A,C-E,EUR,ES	: 	16.09 	15.41 	15.29 	15.45 	15.51 	14.48 	15.24 	16.05 	16.73 	17.36 	18.05 	18.70 	: 
A,C-E,EUR,FI	: 	20.25 	20.15 	20.24 	21.13 	22.11 	23.77 	25.36 	26.40 	26.83 	28.39 	29.16 	29.75 	31.24 
A,C-E,EUR,FR	: 	22.87 	23.33 	23.81 	24.47 	25.62 	26.76 	27.71 	28.46 	29.48 	30.43 	31.47 	32.46 	33.46 
A,C-E,EUR,HU	: 	2.93 	3.18 	3.08 	3.21 	3.75 	4.11 	4.92 	5.09 	5.63 	6.11 	6.22 	7.11 	: 
A,C-E,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.63 	: 	: 
A,C-E,EUR,IT	: 	: 	: 	: 	: 	18.64 	19.04 	19.71 	: 	: 	: 	: 	: 	: 
A,C-E,EUR,LT	: 	1.38 	1.83 	2.04 	2.33 	2.68 	2.81 	2.97 	3.08 	3.10 	3.44 	4.03 	4.90 	: 
A,C-E,EUR,LU	: 	22.36 	21.99 	22.27 	22.89 	23.11 	23.46 	24.46 	25.32 	28.44 	29.51 	30.43 	31.32 	32.17 
A,C-E,EUR,LV	: 	: 	1.68 	1.79 	1.97 	2.25 	2.34 	2.44 	2.40 	2.55 	2.79 	3.40 	4.40 	5.34 
A,C-E,EUR,MT	: 	: 	: 	: 	: 	: 	: 	7.25 	7.67 	7.91 	8.25 	9.20 	9.31 	: 
A,C-E,EUR,NL	: 	23.38 	20.88 b	21.83 	22.94 	23.90 	25.11 	26.42 	27.68 	28.68 	29.04 	: 	: 	: 
A,C-E,EUR,PL	: 	3.04 	3.42 	3.74 	3.94 	4.38 	5.19 	5.15 	4.60 	4.65 	5.46 	5.95 	6.69 	: 
A,C-E,EUR,PT	: 	6.23 	6.42 	6.62 	6.96 	7.17 	7.50 	7.90 	8.30 	8.70 	9.00 	9.21 	9.44 	9.80 
