freq,nace_r1,currency,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,C-O,NAC,DE	: 	22.36 	23.50 	23.86 	24.20 	25.10 	25.70 	26.30 	26.80 	26.90 	27.00 	27.40 	27.60 	: 
A,C-O,NAC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	229.07 	237.26 	248.02 	: 
A,C-O,NAC,EE	: 	1.74 	2.06 	2.36 	2.58 	2.84 	3.19 	3.62 	3.98 	4.25 	4.71 	5.49 	6.60 	7.61 
A,C-O,NAC,ES	: 	14.59 	14.35 	14.29 	: 	14.38 	13.28 	13.84 	14.47 	15.03 	15.53 	16.15 	16.86 	: 
A,C-O,NAC,FI	: 	: 	: 	: 	: 	22.13 	: 	23.40 	24.36 	24.87 	26.15 	26.64 	27.31 	28.77 
A,C-O,NAC,HU	: 	: 	: 	: 	: 	: 	: 	: 	1355.00 	1320.00 	1581.00 	1723.00 	1857.00 	: 
A,C-O,NAC,LT	: 	: 	: 	: 	: 	9.61 	9.81 	10.26 	10.69 	11.19 	12.51 	14.73 	17.47 	: 
A,C-O,NAC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.34 	31.40 	32.39 	33.30 	33.95 
A,C-O,NAC,LV	: 	: 	: 	1.10 	1.17 	1.25 	1.31 	1.45 	1.59 	1.75 	2.03 	2.49 	3.27 	4.01 
A,C-O,NAC,MT	: 	: 	: 	: 	: 	: 	: 	7.38 	7.96 	8.48 	8.85 	8.82 	9.27 	: 
A,C-O,NAC,PL	: 	11.47 	12.70 	14.78 	17.22 	18.08 	19.81 	20.74 	21.45 	22.26 	23.24 	24.45 	26.60 	: 
A,C-O,NAC,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.30 	11.70 	12.13 	12.51 	12.97 
A,C-O,NAC,RO	: 	: 	: 	: 	: 	2.76 	3.99 	5.14 	5.99 	7.20 	8.63 	9.94 	11.85 	: 
A,C-O,NAC,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	264.65 	273.29 	279.62 	285.78 	: 
A,C-O,NAC,SI	4.79 	5.55 	6.32 	6.96 	7.66 	8.24 	9.30 	10.27 	11.09 	11.09 	11.48 	12.09 	12.71 	: 
A,C-O,NAC,SK	: 	2.71 	3.16 	3.60 	3.76 	4.02 	4.38 	4.90 	5.30 	5.62 	5.88 	6.36 	6.89 	: 
A,C-O,NAC,UK	: 	: 	12.09 	12.78 	13.46 	14.18 	14.88 	15.51 	16.05 	16.62 	15.02 	15.55 	15.99 	: 
A,C-O,PPS,AT	: 	: 	: 	: 	: 	22.68 	22.50 	23.26 	24.00 	24.34 	24.91 	25.39 	25.54 	25.04 
A,C-O,PPS,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.35 	27.76 	28.25 	29.45 	29.65 
A,C-O,PPS,BG	: 	: 	: 	2.48 e	2.77 e	3.10 	3.13 	3.30 	3.49 	3.61 	3.72 	3.80 	4.31 	: 
A,C-O,PPS,CH	: 	: 	: 	: 	: 	21.80 	: 	23.67 	: 	23.73 	: 	25.45 	: 	27.43 
A,C-O,PPS,CY	: 	9.02 	9.79 	10.20 	10.49 	11.06 	11.41 	12.06 	12.56 	13.19 	14.04 	14.54 	15.40 	16.40 
A,C-O,PPS,CZ	5.71 	6.28 	6.49 	6.58 	7.08 	7.67 	8.93 	9.18 	10.02 	10.44 	11.27 	11.64 	12.60 	: 
A,C-O,PPS,DE	: 	20.05 	21.35 	21.79 	22.56 	23.56 	24.03 	24.66 	25.24 	25.68 	26.11 	26.70 	27.14 	: 
A,C-O,PPS,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.88 	22.98 	24.25 	: 
A,C-O,PPS,EE	: 	3.58 	4.03 	4.34 	4.54 	4.97 	5.23 	5.95 	6.42 	6.75 	7.28 	8.01 	9.00 	9.79 
A,C-O,PPS,ES	: 	16.62 	16.56 	16.62 	: 	16.92 	15.56 	16.36 	16.37 	16.52 	17.03 	17.60 	18.16 	: 
A,C-O,PPS,FI	: 	: 	: 	: 	: 	18.31 	: 	18.88 	19.24 	20.09 	21.13 	21.71 	22.84 	23.71 
A,C-O,PPS,HU	: 	: 	: 	: 	: 	: 	: 	: 	9.17 	8.46 	10.05 	10.75 	11.07 	: 
A,C-O,PPS,LT	: 	: 	: 	: 	: 	4.94 	5.06 	5.48 	5.92 	6.06 	6.60 	7.44 	8.43 	: 
A,C-O,PPS,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.44 	28.10 	29.09 	29.01 	28.90 
A,C-O,PPS,LV	: 	: 	: 	3.38 	3.59 	3.80 	3.96 	4.38 	4.57 	4.70 	5.10 	5.89 	7.02 	7.63 
A,C-O,PPS,MT	: 	: 	: 	: 	: 	: 	: 	10.39 	11.14 	11.62 	12.10 	11.79 	12.28 	: 
A,C-O,PPS,PL	: 	6.61 	6.60 	7.05 	7.86 	7.80 	8.33 	8.79 	8.96 	9.24 	9.45 	10.05 	11.39 	: 
A,C-O,PPS,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.93 	13.74 	14.28 	14.60 	14.73 
A,C-O,PPS,RO	: 	: 	: 	: 	: 	3.26 	3.68 	3.83 	3.67 	4.10 	4.37 	4.89 	5.57 	: 
A,C-O,PPS,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.89 	24.70 	25.50 	26.72 	: 
A,C-O,PPS,SI	9.87 	10.64 	11.55 	12.11 	12.73 	13.12 	13.83 	14.63 	14.90 	14.72 	15.09 	15.77 	16.11 	: 
A,C-O,PPS,SK	: 	5.20 	6.00 	6.54 	6.33 	6.40 	7.01 	7.72 	7.59 	7.70 	8.27 	8.87 	9.72 	: 
A,C-O,PPS,UK	: 	: 	16.23 	16.83 	17.68 	19.40 	20.49 	21.07 	21.51 	22.57 	19.99 	20.62 	20.51 	: 
A,D,EUR,AT	: 	22.90 	22.50 	22.74 	23.51 	23.79 	24.68 	25.67 	26.29 	26.79 	27.42 	27.70 	28.32 	29.13 
A,D,EUR,BE	: 	25.98 	25.88 	26.51 	27.39 	28.44 	29.88 	31.33 	32.92 	32.30 	33.03 	33.93 	35.78 	36.79 
A,D,EUR,BG	: 	: 	: 	1.07 e	1.15 e	1.17 	1.20 	1.23 	1.27 	1.34 	1.41 	1.49 	1.72 	: 
A,D,EUR,CH	: 	: 	: 	: 	: 	30.06 	: 	33.96 	: 	32.65 	: 	33.21 	: 	34.19 
A,D,EUR,CY	: 	6.72 	7.17 	7.46 	7.61 	8.26 	8.48 	9.02 	9.50 	10.04 	10.69 	11.12 	11.50 	12.17 
A,D,EUR,CZ	2.27 	2.63 	2.79 	3.08 	3.17 	3.57 	4.30 	5.03 	5.14 	5.44 	6.03 	6.68 	7.37 	: 
A,D,EUR,DE	: 	24.80 	25.30 	25.70 	26.30 	27.60 	28.50 	29.20 	29.80 	30.00 	30.10 	31.30 	31.70 	: 
A,D,EUR,DK	: 	: 	22.57 	23.67 	24.70 	25.60 	27.09 	28.22 	29.49 	29.87 	31.05 	32.29 	34.18 	: 
A,D,EUR,EE	: 	1.78 	2.05 	2.33 	2.43 	2.70 	3.01 	3.33 	3.64 	3.91 	4.42 	5.17 	6.26 	7.14 
A,D,EUR,EL	8.13 	8.64 	9.15 	9.18 	10.00 	10.39 	11.00 	11.80 	12.65 	: 	: 	: 	: 	: 
A,D,EUR,ES	: 	15.57 	14.93 	14.86 	15.05 	15.12 	14.15 	14.86 	15.64 	16.29 	16.87 	17.56 	18.24 	: 
A,D,EUR,FI	: 	20.11 	20.06 	20.15 	21.08 	22.02 	23.67 	25.23 	26.25 	26.69 	28.24 	28.99 	29.56 	31.04 
A,D,EUR,FR	: 	22.20 	22.70 	23.20 	23.86 	24.98 	26.17 	27.17 	27.98 	29.01 	29.96 	30.96 	31.97 	32.92 
A,D,EUR,HU	: 	2.66 	2.85 	2.92 	3.05 	3.59 	3.95 	4.72 	4.87 	5.39 	5.84 	5.95 	6.71 	: 
A,D,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.83 	: 	: 
A,D,EUR,IS	: 	: 	: 	: 	17.39 	: 	18.82 	20.78 	22.27 	23.48 	28.58 	27.56 	: 	: 
A,D,EUR,IT	: 	16.62 	18.12 	17.53 	18.09 	18.28 	18.69 	19.37 	19.84 	20.63 	: 	: 	: 	: 
A,D,EUR,LT	: 	1.29 	1.74 	1.95 	2.24 	2.54 	2.67 	2.81 	2.91 	2.92 	3.24 	3.83 	4.73 	: 
A,D,EUR,LU	: 	22.01 	21.60 	21.86 	22.37 	22.56 	22.89 	23.87 	24.67 	27.86 	28.88 	29.78 	30.65 	31.46 
A,D,EUR,LV	: 	: 	1.61 	1.71 	1.84 	2.09 	2.18 	2.24 	2.22 	2.36 	2.58 	3.17 	4.12 	4.99 
A,D,EUR,MT	: 	: 	: 	: 	: 	: 	: 	7.12 	7.49 	7.69 	8.10 	9.30 	9.16 	: 
A,D,EUR,NL	: 	22.99 	20.42 b	21.38 	22.46 	23.41 	24.64 	25.91 	27.15 	28.08 	28.50 	: 	: 	: 
A,D,EUR,PL	: 	2.66 	3.04 	3.35 	3.56 	3.95 	4.66 	4.59 	4.12 	4.13 	4.84 	5.31 	6.04 	: 
A,D,EUR,PT	: 	5.97 	6.17 	6.37 	6.72 	6.94 	7.30 	7.70 	8.10 	8.50 	8.80 	9.01 	9.23 	9.60 
A,D,EUR,RO	: 	: 	: 	: 	: 	1.26 	1.39 	1.46 	1.39 	1.56 	2.01 	2.33 	2.92 	: 
A,D,EUR,SE	19.88 	23.34 	24.07 	24.43 	25.37 	28.30 	27.00 	28.18 	29.67 	32.04 	32.49 	32.80 	34.52 	: 
A,D,EUR,SI	6.43 	6.65 	7.14 	7.57 	7.89 	8.19 	8.68 	9.19 	9.58 	9.51 	9.84 	10.19 	10.69 	: 
A,D,EUR,SK	: 	2.25 	2.51 	2.82 	2.59 	3.05 	3.14 	3.46 	3.88 	4.34 	4.61 	5.09 	6.23 	: 
A,D,EUR,UK	: 	14.56 	17.45 	19.17 	20.71 	23.33 	24.02 	24.87 	23.25 	24.70 	22.84 	23.53 	23.95 	: 
A,D,NAC,AT	: 	22.36 	22.60 	22.90 	23.51 	23.79 	24.68 	25.67 	26.29 	26.79 	27.42 	27.70 	28.32 	29.13 
A,D,NAC,BE	: 	25.31 	26.00 	26.70 	27.39 	28.44 	29.88 	31.33 	32.92 	32.30 	33.03 	33.93 	35.78 	36.79 
A,D,NAC,BG	: 	: 	: 	2.11 e	2.25 e	2.29 	2.34 	2.39 	2.47 	2.61 	2.75 	2.91 	3.36 	: 
A,D,NAC,CH	: 	: 	: 	: 	: 	46.83 	: 	49.82 	: 	50.41 	: 	52.24 	: 	54.27 
A,D,NAC,CY	: 	6.80 	7.14 	7.38 	7.53 	8.10 	8.34 	8.87 	9.48 	9.98 	10.54 	10.94 	11.45 	12.17 
A,D,NAC,CZ	78.59 	90.48 	100.30 	111.12 	117.08 	127.06 	146.33 	155.03 	163.66 	173.51 	179.68 	189.39 	204.67 	: 
A,D,NAC,DE	: 	24.21 	25.41 	25.87 	26.30 	27.60 	28.50 	29.20 	29.80 	30.00 	30.10 	31.30 	31.70 	: 
A,D,NAC,DK	: 	: 	168.94 	177.53 	183.67 	190.81 	201.88 	209.72 	219.10 	222.25 	231.38 	240.88 	254.63 	: 
A,D,NAC,EE	: 	1.74 	2.06 	2.34 	2.43 	2.70 	3.01 	3.33 	3.64 	3.91 	4.42 	5.17 	6.26 	7.14 
A,D,NAC,EL	7.23 	7.75 	8.31 	8.91 	9.56 	10.26 	11.00 	11.80 	12.65 	: 	: 	: 	: 	: 
A,D,NAC,ES	: 	15.04 	14.89 	14.93 	15.05 	15.12 	14.15 	14.86 	15.64 	16.29 	16.87 	17.56 	18.24 	: 
A,D,NAC,FI	: 	19.71 	19.84 	20.27 	21.08 	22.02 	23.67 	25.23 	26.25 	26.69 	28.24 	28.99 	29.56 	31.04 
A,D,NAC,FR	: 	21.97 	22.88 	23.35 	23.86 	24.98 	26.17 	27.17 	27.98 	29.01 	29.96 	30.96 	31.97 	32.92 
A,D,NAC,HU	: 	514.75 	603.07 	701.37 	772.02 	932.49 	1013.12 	1147.17 	1235.00 	1356.00 	1449.00 	1573.00 	1686.00 	: 
A,D,NAC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.83 	: 	: 
A,D,NAC,IS	: 	: 	: 	: 	1342.32 	: 	1645.17 	1791.00 	1930.00 	2046.00 	2236.00 	2419.00 	: 	: 
A,D,NAC,IT	: 	16.81 	18.05 	17.60 	18.09 	18.28 	18.69 	19.37 	19.84 	20.63 	: 	: 	: 	: 
A,D,NAC,LT	: 	6.53 	7.89 	8.73 	9.57 	9.38 	9.55 	9.71 	10.05 	10.07 	11.20 	13.22 	16.32 	: 
A,D,NAC,LU	: 	21.44 	21.70 	22.01 	22.37 	22.56 	22.89 	23.87 	24.67 	27.86 	28.88 	29.78 	30.65 	31.46 
A,D,NAC,LV	: 	: 	1.06 	1.13 	1.15 	1.17 	1.22 	1.30 	1.42 	1.57 	1.80 	2.21 	2.88 	3.51 
A,D,NAC,MT	: 	: 	: 	: 	: 	: 	: 	6.78 	7.43 	7.67 	8.11 	9.30 	9.16 	: 
A,D,NAC,NL	: 	22.32 	20.49 	21.53 	22.46 	23.41 	24.64 	25.91 	27.15 	28.08 	28.50 	: 	: 	: 
A,D,NAC,PL	: 	9.09 	11.31 	13.12 	15.06 	15.84 	17.11 	17.72 	18.12 	18.68 	19.49 	20.70 	22.85 	: 
A,D,NAC,PT	: 	5.83 	6.11 	6.41 	6.72 	6.94 	7.30 	7.70 	8.10 	8.50 	8.80 	9.01 	9.23 	9.60 
A,D,NAC,RO	: 	: 	: 	: 	: 	2.51 	3.61 	4.56 	5.21 	6.30 	7.27 	8.20 	9.73 	: 
A,D,NAC,SE	185.49 	198.75 	208.21 	217.86 	223.41 	239.02 	249.93 	258.14 	270.68 	292.33 	301.60 	303.59 	319.27 	: 
A,D,NAC,SI	4.16 	4.77 	5.40 	5.88 	6.40 	7.06 	7.90 	8.66 	9.35 	9.49 	9.84 	10.19 	10.69 	: 
A,D,NAC,SK	: 	2.90 	3.17 	3.70 	3.79 	4.31 	4.51 	4.91 	5.34 	5.76 	5.90 	6.29 	6.99 	: 
A,D,NAC,UK	: 	11.85 	12.08 	12.97 	13.64 	14.22 	14.94 	15.64 	16.09 	16.76 	15.62 	16.04 	16.39 	: 
A,D,PPS,AT	: 	20.46 	20.99 	21.60 	22.43 	23.36 	23.55 	24.82 	25.45 	25.93 	26.72 	27.17 	27.61 	27.62 
A,D,PPS,BE	: 	23.60 	24.45 	24.67 	25.66 	27.90 	28.96 	30.87 	30.90 	30.26 	31.01 	31.50 	33.30 	33.32 
A,D,PPS,BG	: 	: 	: 	2.86 e	3.04 e	3.04 	2.93 	3.00 	3.11 	3.18 	3.25 	3.31 	3.77 	: 
A,D,PPS,CH	: 	: 	: 	: 	: 	21.09 	: 	23.14 	: 	23.19 	: 	24.67 	: 	26.45 
A,D,PPS,CY	: 	7.78 	8.28 	8.55 	8.72 	9.38 	9.53 	10.13 	10.45 	11.00 	11.82 	12.31 	13.03 	13.71 
A,D,PPS,CZ	5.44 	5.99 	6.29 	6.49 	6.84 	7.43 	8.59 	8.82 	9.42 	9.82 	10.37 	10.89 	11.81 	: 
A,D,PPS,DE	: 	21.71 	23.09 	23.63 	24.52 	25.91 	26.64 	27.38 	28.07 	28.63 	29.11 	30.50 	31.17 	: 
A,D,PPS,DK	: 	: 	17.16 	18.29 	18.79 	19.66 	20.04 	21.09 	20.89 	21.40 	22.10 	23.33 	24.89 	: 
A,D,PPS,EE	: 	3.57 	4.03 	4.30 	4.28 	4.72 	4.93 	5.48 	5.86 	6.20 	6.83 	7.54 	8.54 	9.18 
A,D,PPS,EL	9.81 	10.05 	10.45 	10.71 	11.33 	12.25 	13.37 	14.71 	14.73 	: 	: 	: 	: 	: 
A,D,PPS,ES	: 	17.14 	17.18 	17.37 	17.50 	17.79 	16.58 	17.56 	17.70 	17.91 	18.49 	19.13 	19.64 	: 
A,D,PPS,FI	: 	15.70 	16.05 	16.38 	17.24 	18.22 	18.97 	20.36 	20.73 	21.56 	22.82 	23.62 	24.72 	25.58 
A,D,PPS,FR	: 	18.93 	20.27 	20.95 	21.83 	23.60 	25.15 	26.26 	25.44 	26.38 	27.66 	28.52 	29.58 	29.41 
A,D,PPS,HU	: 	5.98 	6.14 	6.38 	6.49 	7.29 	7.46 	8.22 	8.36 	8.69 	9.21 	9.82 	10.06 	: 
A,D,PPS,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.53 	: 	: 
A,D,PPS,IS	: 	: 	: 	: 	13.73 	: 	14.71 	15.44 	16.08 	17.03 	18.62 	19.05 	: 	: 
A,D,PPS,IT	: 	16.72 	18.18 	17.90 	18.42 	18.75 	18.74 	18.86 	19.14 	19.66 	: 	: 	: 	: 
A,D,PPS,LT	: 	3.52 	4.02 	4.27 	4.79 	4.82 	4.93 	5.18 	5.56 	5.45 	5.91 	6.68 	7.88 	: 
A,D,PPS,LU	: 	20.19 	20.26 	20.98 	21.75 	22.24 	22.11 	23.38 	23.89 	27.04 	25.85 	26.74 	26.71 	26.78 
A,D,PPS,LV	: 	: 	3.36 	3.48 	3.53 	3.56 	3.69 	3.93 	4.08 	4.21 	4.52 	5.22 	6.18 	6.67 
A,D,PPS,MT	: 	: 	: 	: 	: 	: 	: 	9.55 	10.40 	10.51 	11.08 	12.44 	12.14 	: 
A,D,PPS,NL	: 	21.39 	19.75 	20.93 	21.87 	23.41 	23.93 	25.19 	25.19 	26.45 	27.20 	: 	: 	: 
A,D,PPS,PL	: 	5.24 	5.87 	6.25 	6.87 	6.83 	7.19 	7.51 	7.57 	7.75 	7.92 	8.51 	9.78 	: 
A,D,PPS,PT	: 	7.18 	7.47 	7.58 	8.06 	8.36 	8.65 	8.92 	9.41 	9.73 	10.33 	10.61 	10.77 	10.90 
A,D,PPS,RO	: 	: 	: 	: 	: 	2.96 	3.33 	3.40 	3.20 	3.59 	3.68 	4.04 	4.58 	: 
A,D,PPS,SE	15.80 	17.31 	18.29 	19.23 	20.07 	22.19 	22.53 	23.14 	24.02 	26.38 	27.26 	27.69 	29.86 	: 
A,D,PPS,SI	8.55 	9.14 	9.87 	10.21 	10.64 	11.24 	11.74 	12.34 	12.56 	12.59 	12.93 	13.28 	13.55 	: 
A,D,PPS,SK	: 	5.57 	6.03 	6.74 	6.38 	6.87 	7.23 	7.74 	7.65 	7.90 	8.31 	8.78 	9.86 	: 
A,D,PPS,UK	: 	15.70 	16.22 	17.08 	17.92 	19.45 	20.57 	21.25 	21.56 	22.76 	20.79 	21.27 	21.02 	: 
A,E,EUR,AT	: 	39.60 	37.49 	38.43 	39.69 	40.09 	38.76 	38.75 	40.26 	40.76 	40.52 	41.03 	41.28 	42.44 
A,E,EUR,BE	: 	43.87 	42.90 	43.23 	43.92 	50.31 	53.35 	56.39 	57.05 	: 	: 	: 	: 	: 
A,E,EUR,BG	: 	: 	: 	1.78 e	2.07 e	2.50 	2.76 	2.87 	3.18 	3.44 	3.51 	3.70 	3.99 	: 
A,E,EUR,CH	: 	: 	: 	: 	: 	36.48 	: 	40.72 	: 	39.27 	: 	40.14 	: 	41.82 
A,E,EUR,CY	: 	11.90 	13.10 	13.52 	13.99 	14.71 	14.99 	15.50 	17.13 	17.66 	18.29 	19.97 	21.05 	22.40 
A,E,EUR,CZ	2.80 	3.27 	3.53 	3.89 	4.30 	4.78 	5.80 	6.88 	7.11 	7.43 	8.70 	9.71 	10.75 	: 
A,E,EUR,DE	: 	29.40 	30.20 	31.10 	31.60 	34.60 	36.70 	36.40 	38.80 	39.40 	40.00 	42.10 	42.10 	: 
A,E,EUR,DK	: 	: 	26.93 	28.75 	30.59 	31.72 	32.91 	34.90 	36.76 	36.65 	38.92 	40.69 	40.30 	: 
A,E,EUR,EE	: 	2.26 	2.75 	3.15 	3.30 	3.46 	3.90 	4.33 	4.76 	5.00 	5.71 	6.18 	7.52 	8.93 
A,E,EUR,EL	13.35 	14.23 	15.10 	15.19 	16.58 	17.25 	18.32 	19.69 	21.17 	: 	: 	: 	: 	: 
A,E,EUR,ES	: 	25.63 	24.41 	24.74 	25.25 	25.58 	22.91 	25.20 	26.78 	28.47 	30.19 	31.05 	30.99 	: 
A,E,EUR,FI	: 	24.12 	: 	: 	: 	25.50 	27.98 	31.77 	33.39 	33.57 	35.06 	36.27 	37.29 	39.32 
A,E,EUR,FR	: 	33.31 	32.97 	33.14 	34.18 	36.19 	36.11 	36.16 	36.01 	36.84 	39.59 	41.41 	41.98 	44.17 
A,E,EUR,HU	: 	4.00 	4.24 	4.47 	4.62 	5.33 	5.91 	7.15 	7.56 	8.49 	9.28 	9.43 	11.04 	: 
A,E,EUR,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.36 	: 	: 
A,E,EUR,IT	: 	25.91 	28.43 	27.56 	27.24 	27.20 	28.27 	27.92 	29.24 	29.81 	: 	: 	: 	: 
A,E,EUR,LT	: 	1.86 	2.36 	2.57 	2.78 	3.39 	3.64 	3.93 	4.10 	4.47 	4.89 	5.53 	6.28 	: 
A,E,EUR,LU	: 	34.66 	35.08 	35.87 	37.86 	37.52 	38.65 	40.26 	41.65 	48.11 	50.62 	51.29 	52.39 	54.09 
A,E,EUR,LV	: 	: 	2.20 	2.39 	2.89 	3.56 	3.79 	4.22 	4.02 	4.28 	4.81 	5.69 	7.32 	8.62 
A,E,EUR,MT	: 	: 	: 	: 	: 	: 	: 	8.58 	9.51 	9.70 	9.53 	8.47 	10.79 	: 
A,E,EUR,NL	: 	28.29 	27.99 b	29.03 	31.08 	32.50 	33.55 	35.32 	37.19 	39.07 	37.88 	: 	: 	: 
A,E,EUR,PL	: 	4.07 	4.40 	4.80 	5.02 	5.73 	6.79 	6.80 	6.15 	6.31 	7.46 	8.16 	9.03 	: 
A,E,EUR,PT	: 	12.11 	12.37 	12.61 	13.15 	13.25 	14.60 	16.00 	17.60 	19.30 	20.50 	21.32 	22.57 	23.32 
A,E,EUR,RO	: 	: 	: 	: 	: 	2.32 	2.51 	2.63 	2.59 	2.77 	3.81 	4.53 	5.64 	: 
A,E,EUR,SE	21.50 	25.37 	26.16 	26.49 	27.55 	31.86 	30.42 	31.82 	33.50 	35.87 	35.81 	37.37 	38.97 	: 
A,E,EUR,SI	8.82 	9.03 	9.47 	10.32 	10.88 	11.10 	11.88 	12.83 	13.38 	14.07 	14.28 	14.77 	15.85 	: 
A,E,EUR,SK	: 	2.71 	3.40 	3.25 	2.75 	2.75 	3.17 	4.69 b	4.77 	4.97 	5.93 	7.83 	9.25 	: 
A,E,EUR,UK	: 	19.57 	23.60 	24.91 	27.34 	32.09 	31.52 	31.65 	29.70 	31.61 	30.61 	30.91 	31.53 	: 
A,E,NAC,AT	: 	38.66 	37.66 	38.69 	39.69 	40.09 	38.76 	38.75 	40.26 	40.76 	40.52 	41.03 	41.28 	42.44 
A,E,NAC,BE	: 	42.74 	43.11 	43.53 	43.92 	50.31 	53.35 	56.39 	57.05 	: 	: 	: 	: 	: 
A,E,NAC,BG	: 	: 	: 	3.51 e	4.05 e	4.88 	5.38 	5.60 	6.20 	6.72 	6.87 	7.23 	7.81 	: 
A,E,NAC,CH	: 	: 	: 	: 	: 	56.83 	: 	59.73 	: 	60.62 	: 	63.13 	: 	66.38 
A,E,NAC,CY	: 	12.03 	13.04 	13.38 	13.84 	14.42 	14.75 	15.24 	17.10 	17.56 	18.03 	19.65 	20.95 	22.40 
A,E,NAC,CZ	97.08 	112.59 	126.92 	140.34 	158.57 	170.06 	197.53 	211.95 	226.31 	236.93 	259.05 	275.19 	298.41 	: 
A,E,NAC,DE	: 	28.70 	30.33 	31.31 	31.60 	34.60 	36.70 	36.40 	38.80 	39.40 	40.00 	42.10 	42.10 	: 
A,E,NAC,DK	: 	: 	201.52 	215.61 	227.47 	236.43 	245.28 	259.35 	273.16 	272.66 	290.04 	303.50 	300.28 	: 
A,E,NAC,EE	: 	2.20 	2.76 	3.17 	3.30 	3.46 	3.90 	4.33 	4.76 	5.00 	5.71 	6.18 	7.52 	8.93 
A,E,NAC,EL	11.87 	12.76 	13.71 	14.74 	15.85 	17.04 	18.32 	19.69 	21.17 	: 	: 	: 	: 	: 
A,E,NAC,ES	: 	24.76 	24.34 	24.86 	25.25 	25.58 	22.91 	25.20 	26.78 	28.47 	30.19 	31.05 	30.99 	: 
A,E,NAC,FI	: 	23.64 	: 	: 	: 	25.50 	27.98 	31.77 	33.39 	33.57 	35.06 	36.27 	37.29 	39.32 
A,E,NAC,FR	: 	32.97 	33.24 	33.35 	34.18 	36.19 	36.11 	36.16 	36.01 	36.84 	39.59 	41.41 	41.98 	44.17 
A,E,NAC,HU	: 	774.44 	898.30 	1076.34 	1168.56 	1385.81 	1515.50 	1736.67 	1917.00 	2136.00 	2303.00 	2492.00 	2774.00 	: 
A,E,NAC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.36 	: 	: 
A,E,NAC,IT	: 	26.21 	28.33 	27.66 	27.24 	27.20 	28.27 	27.92 	29.24 	29.81 	: 	: 	: 	: 
A,E,NAC,LT	: 	9.47 	10.71 	11.52 	11.86 	12.53 	13.05 	13.59 	14.17 	15.42 	16.88 	19.08 	21.69 	: 
A,E,NAC,LU	: 	33.77 	35.25 	36.12 	37.86 	37.52 	38.65 	40.26 	41.65 	48.11 	50.62 	51.29 	52.39 	54.09 
A,E,NAC,LV	: 	: 	1.45 	1.58 	1.81 	1.99 	2.12 	2.45 	2.58 	2.84 	3.35 	3.96 	5.12 	6.06 
A,E,NAC,MT	: 	: 	: 	: 	: 	: 	: 	8.17 	9.44 	9.67 	9.54 	8.47 	10.79 	: 
A,E,NAC,NL	: 	27.47 	28.08 	29.24 	31.08 	32.50 	33.55 	35.32 	37.19 	39.07 	37.88 	: 	: 	: 
A,E,NAC,PL	: 	13.94 	16.36 	18.79 	21.21 	22.97 	24.95 	26.22 	27.07 	28.55 	30.01 	31.78 	34.18 	: 
A,E,NAC,PT	: 	11.82 	12.25 	12.69 	13.15 	13.25 	14.60 	16.00 	17.60 	19.30 	20.50 	21.32 	22.57 	23.32 
A,E,NAC,RO	: 	: 	: 	: 	: 	4.62 	6.54 	8.23 	9.73 	11.21 	13.78 	15.98 	18.80 	: 
A,E,NAC,SE	200.59 	216.02 	226.30 	236.22 	242.69 	269.09 	281.57 	291.48 	305.62 	327.30 	332.41 	345.88 	360.46 	: 
A,E,NAC,SI	5.70 	6.47 	7.15 	8.01 	8.83 	9.57 	10.80 	12.10 	13.06 	14.04 	14.28 	14.76 	15.85 	: 
A,E,NAC,SK	: 	3.50 	4.30 	4.27 	4.03 	3.89 	4.56 	6.64 b	6.57 	6.60 	7.59 	9.67 	10.37 	: 
A,E,NAC,UK	: 	15.93 	16.34 	16.85 	18.01 	19.56 	19.60 	19.90 	20.55 	21.45 	20.93 	21.07 	21.58 	: 
A,E,PPS,AT	: 	35.38 	34.98 	36.49 	37.86 	39.37 	36.99 	37.46 	38.97 	39.46 	39.49 	40.24 	40.25 	40.25 
A,E,PPS,BE	: 	39.85 	40.54 	40.22 	41.14 	49.34 	51.71 	55.56 	53.54 	: 	: 	: 	: 	: 
A,E,PPS,BG	: 	: 	: 	4.75 e	5.47 e	6.47 	6.74 	7.04 	7.81 	8.19 	8.11 	8.24 	8.76 	: 
A,E,PPS,CH	: 	: 	: 	: 	: 	25.60 	: 	27.75 	: 	27.88 	: 	29.81 	: 	32.35 
